274,Anuj,Boy,"Later Born, Younger"
275,Anuja,Girl,Younger Sister
276,Anuka,Girl,Desirous
277,Anukrithi,Girl,A picture
278,Anumati,Girl,Consent
279,Anumega,Girl,Following the rain
280,Anumita,Girl,love and kindness
281,Anupa,Girl,Pond
282,Anupam,Boy,Incomparable
283,Anupama,Girl,"Beyond Comparison, Unique"
284,Anupriya,Girl,Goddess Laxmi
285,Anura,Girl,Knowledgeable
286,Anuradha,Girl,Name Of A Star
287,Anurag,Boy,"Attachment, Devotion, Love"
288,Anurupika,Girl,
289,Anusha,Girl,"Beautiful Morning, A Star"
290,Anushka,Girl,Lightning
291,Anushri,Girl,Pretty
292,Anusuya,Girl,Non-Jealous
293,Anuttara,Girl,Unanswered
294,Anvay,Boy,Joined; Integration
295,Anvi,Girl,One Of Devi's Names
296,Anvita,Girl,
297,Aparijita,Girl,Undefeated; Name Of A Flower
298,Aparna,Girl,Goddess Parvati
299,Apeksha,Girl,Expectation
300,Apinaya,Girl,Expression
301,Apoorva / Apurva,Boy,Extraordinary
302,Apsara,Girl,Celestial Maiden
303,"Apurva, Apoorva",Girl,Unique
304,Aradhak,Boy,Worshipper
305,Aradhana,Girl,Worship
306,Aradhya,Boy,To Be Worshipped
307,"Arati, Aaarti, Arti",Girl,Worship
308,Arav,Boy,Peaceful
309,Archa,Boy,
310,Archa,Girl,Worship
311,Archan,Girl,Worship
312,Archana,Girl,Worship
313,Archit,Boy,That Deserves To Be Worshiped; Give
314,Ardra,Girl,Deeply
315,Arghya,Boy,Valuable
316,Arham,Boy,Other Name Of Arihant Parmatma (Jain)
317,Arihan,Boy,Killing Enemies
318,Arihant,Boy,One Who Has Killed His Enemies
319,Arin,Boy,With Spokes; Discuss
320,Ariv,Boy,King Of Wisdom
321,Arjun,Boy,Peacock
322,Arman,Boy,Wish
323,Arnav,Boy,"Ocean, Sea"
324,Arni,Boy,Eagle power
325,Arpana,Girl,Surrendered
326,Arpita,Girl,Dedicated
327,Arshia,Girl,Heavenly
328,Aru,Girl,Eyes
329,Arulsyankar,Boy,Lord Shiva's Name
330,Arun,Boy,Sun
331,Aruna,Girl,Dawn
332,Arundhati,Girl,A Star
333,Arunima,Girl,Glow Of Dawn
334,Arushi,Girl,First Ray Of The Sun
335,Arvind,Boy,Lotus
336,Arya,Girl,Godess Parvathi
337,Aryahi,Girl,Goddess Durga
338,Aryan,Boy,Ancient Civilization
339,Aryanathan,Boy,Lord Ayyappa
340,"Aseema, Ashima",Girl,Limitless
341,Asha,Girl,Hope
342,Ashakiran,Girl,Ray of hope
343,Ashir,Boy,
344,Ashira,Girl,Wealthy
345,Ashirvad,Boy,Blessing
346,Ashish,Boy,Blessing
347,Ashish blessings,Boy,Hindu Boy
348,Ashita,Girl,River Yamuna
349,Ashmit,Boy,Pride
350,Ashmita,Girl,Very Hard And Strong
351,Ashna,Girl,A Friend
352,Ashnaa,Girl,Daughter Of King Bali
